origin,destin,date,price,airline
NYC,WAS,20180614,146.2,UA
NYC,WAS,20180615,146.2,UA
NYC,WAS,20180616,96.2,UA
NYC,WAS,20180617,96.2,UA
NYC,WAS,20180618,96.2,UA
NYC,WAS,20180619,96.2,UA
NYC,WAS,20180620,96.2,UA
NYC,WAS,20180621,96.2,UA
NYC,WAS,20180622,96.2,UA
NYC,WAS,20180623,111.2,DL
NYC,WAS,20180624,136.2,DL
NYC,WAS,20180625,96.2,DL
NYC,WAS,20180626,71.2,B6
NYC,WAS,20180627,96.2,B6
NYC,WAS,20180628,66.2,UA
NYC,WAS,20180629,71.2,DL
NYC,WAS,20180630,96.2,DL
NYC,WAS,20180701,121.2,B6
NYC,WAS,20180702,81.2,UA
NYC,WAS,20180703,81.2,UA
NYC,WAS,20180704,63.2,UA
NYC,WAS,20180705,63.2,UA
NYC,WAS,20180706,81.2,UA
NYC,WAS,20180707,96.2,DL
NYC,WAS,20180708,63.2,UA
NYC,WAS,20180709,86.2,UA
NYC,WAS,20180710,63.2,UA
NYC,WAS,20180711,63.2,UA
NYC,WAS,20180712,63.2,UA
NYC,WAS,20180713,63.2,UA
NYC,WAS,20180714,63.2,UA
NYC,WAS,20180715,93.2,UA
NYC,WAS,20180716,66.2,DL
NYC,WAS,20180717,63.2,UA
NYC,WAS,20180718,63.2,UA
NYC,WAS,20180719,63.2,UA
NYC,WAS,20180720,81.2,DL
NYC,WAS,20180721,63.2,UA
NYC,WAS,20180722,63.2,UA
NYC,WAS,20180723,63.2,UA
NYC,WAS,20180724,63.2,UA
NYC,WAS,20180725,63.2,UA
NYC,WAS,20180726,63.2,UA
NYC,WAS,20180727,63.2,UA
NYC,WAS,20180728,63.2,UA
NYC,WAS,20180729,63.2,UA
NYC,WAS,20180730,63.2,UA
NYC,WAS,20180731,63.2,UA
NYC,WAS,20180801,63.2,UA
NYC,WAS,20180802,63.2,UA
NYC,WAS,20180803,63.2,UA
NYC,WAS,20180804,81.2,UA
NYC,WAS,20180805,93.2,UA
NYC,WAS,20180806,63.2,UA
NYC,WAS,20180807,63.2,UA
NYC,WAS,20180808,63.2,UA
NYC,WAS,20180809,63.2,UA
NYC,WAS,20180810,66.2,DL
NYC,WAS,20180811,66.2,UA
NYC,WAS,20180812,93.2,UA
NYC,WAS,20180813,63.2,DL
NYC,WAS,20180814,63.2,UA
NYC,WAS,20180815,63.2,DL
NYC,WAS,20180816,63.2,DL
NYC,WAS,20180817,63.2,DL
NYC,WAS,20180818,63.2,DL
NYC,WAS,20180819,63.2,DL
NYC,WAS,20180820,63.2,DL
NYC,WAS,20180821,63.2,UA
NYC,WAS,20180822,63.2,UA
NYC,WAS,20180823,63.2,UA
NYC,WAS,20180824,63.2,UA
NYC,WAS,20180825,63.2,DL
NYC,WAS,20180826,63.2,UA
NYC,WAS,20180827,63.2,UA
NYC,WAS,20180828,56.2,B6
NYC,WAS,20180829,56.2,B6
NYC,WAS,20180830,63.2,UA
NYC,WAS,20180831,56.2,B6
NYC,WAS,20180901,63.2,UA
NYC,WAS,20180902,63.2,B6
NYC,WAS,20180903,63.2,DL
NYC,WAS,20180904,56.2,B6
NYC,WAS,20180905,56.2,B6
NYC,WAS,20180906,56.2,B6
NYC,WAS,20180907,63.2,UA
NYC,WAS,20180908,63.2,UA
NYC,WAS,20180909,71.2,DL
NYC,WAS,20180910,63.2,UA
NYC,WAS,20180911,56.2,B6
NYC,WAS,20180912,63.2,UA
NYC,WAS,20180913,56.2,B6
NYC,WAS,20180914,63.2,UA
NYC,WAS,20180915,63.2,DL
NYC,WAS,20180916,66.2,DL
NYC,WAS,20180917,63.2,UA
NYC,WAS,20180918,56.2,B6
NYC,WAS,20180919,56.2,B6
NYC,WAS,20180920,56.2,B6
NYC,WAS,20180921,56.2,B6
NYC,WAS,20180922,63.2,UA
NYC,WAS,20180923,66.2,DL
NYC,WAS,20180924,63.2,UA
NYC,WAS,20180925,56.2,B6
NYC,WAS,20180926,56.2,B6
NYC,WAS,20180927,56.2,B6
NYC,WAS,20180928,63.2,UA
NYC,WAS,20180929,63.2,UA
NYC,WAS,20180930,71.2,DL
NYC,WAS,20181001,63.2,UA
NYC,WAS,20181002,56.2,B6
NYC,WAS,20181003,63.2,UA
NYC,WAS,20181004,63.2,UA
NYC,WAS,20181005,63.2,UA
NYC,WAS,20181006,63.2,UA
NYC,WAS,20181007,63.2,UA
NYC,WAS,20181008,63.2,UA
NYC,WAS,20181009,63.2,UA
NYC,WAS,20181010,63.2,UA
NYC,WAS,20181011,63.2,UA
NYC,WAS,20181012,63.2,UA
NYC,WAS,20181013,63.2,UA
NYC,WAS,20181014,63.2,DL
NYC,WAS,20181015,63.2,UA
NYC,WAS,20181016,56.2,B6
NYC,WAS,20181017,56.2,B6
NYC,WAS,20181018,63.2,UA
NYC,WAS,20181019,63.2,UA
NYC,WAS,20181020,63.2,UA
NYC,WAS,20181021,63.2,UA
NYC,WAS,20181022,63.2,UA
NYC,WAS,20181023,56.2,B6
NYC,WAS,20181024,56.2,B6
NYC,WAS,20181025,63.2,UA
NYC,WAS,20181026,63.2,UA
NYC,WAS,20181027,56.2,B6
NYC,WAS,20181028,56.2,B6
NYC,WAS,20181029,63.2,DL
NYC,WAS,20181030,56.2,B6
NYC,WAS,20181031,56.2,B6
NYC,WAS,20181101,56.2,B6
NYC,WAS,20181102,56.2,B6
NYC,WAS,20181103,56.2,B6
NYC,WAS,20181104,63.2,DL
NYC,WAS,20181105,63.2,B6
