origin,destin,date,price,airline
ABQ,ATL,20180712,170.8,F9
ABQ,ATL,20180713,52.8,UA
ABQ,ATL,20180714,165.8,AA
ABQ,ATL,20180715,226.8,UA
ABQ,ATL,20180716,176.4,F9
ABQ,ATL,20180717,52.8,UA
ABQ,ATL,20180718,151.8,UA
ABQ,ATL,20180719,170.8,F9
ABQ,ATL,20180720,195.8,AA
ABQ,ATL,20180721,165.8,UA
ABQ,ATL,20180722,170.8,F9
ABQ,ATL,20180723,195.8,AA
ABQ,ATL,20180724,52.8,UA
ABQ,ATL,20180725,52.8,UA
ABQ,ATL,20180726,165.8,UA
ABQ,ATL,20180727,238.2,DL
ABQ,ATL,20180728,176.4,F9
ABQ,ATL,20180729,238.2,DL
ABQ,ATL,20180730,226.8,UA
ABQ,ATL,20180731,52.8,UA
ABQ,ATL,20180801,52.8,UA
ABQ,ATL,20180802,165.8,AA
ABQ,ATL,20180803,165.8,UA
ABQ,ATL,20180804,151.8,UA
ABQ,ATL,20180805,170.8,F9
ABQ,ATL,20180806,176.4,F9
ABQ,ATL,20180807,52.8,UA
ABQ,ATL,20180808,52.8,UA
ABQ,ATL,20180809,165.8,AA
ABQ,ATL,20180810,52.8,UA
ABQ,ATL,20180811,151.8,UA
ABQ,ATL,20180812,195.8,AA
ABQ,ATL,20180813,143.2,DL
ABQ,ATL,20180814,52.8,UA
ABQ,ATL,20180815,52.8,UA
ABQ,ATL,20180816,143.2,DL
ABQ,ATL,20180817,52.8,UA
ABQ,ATL,20180818,52.8,UA
ABQ,ATL,20180819,165.8,AA
ABQ,ATL,20180820,143.2,DL
ABQ,ATL,20180821,52.8,UA
ABQ,ATL,20180822,52.8,UA
ABQ,ATL,20180823,143.2,DL
ABQ,ATL,20180824,52.8,UA
ABQ,ATL,20180825,52.8,UA
ABQ,ATL,20180826,165.8,UA
ABQ,ATL,20180827,52.8,UA
ABQ,ATL,20180828,52.8,UA
ABQ,ATL,20180829,52.8,UA
ABQ,ATL,20180830,143.2,DL
ABQ,ATL,20180831,202.8,UA
ABQ,ATL,20180901,52.8,UA
ABQ,ATL,20180902,52.8,UA
ABQ,ATL,20180903,192.2,DL
ABQ,ATL,20180904,143.2,DL
ABQ,ATL,20180905,52.8,UA
ABQ,ATL,20180906,52.8,UA
ABQ,ATL,20180907,52.8,UA
ABQ,ATL,20180908,52.8,UA
ABQ,ATL,20180909,195.8,AA
ABQ,ATL,20180910,52.8,UA
ABQ,ATL,20180911,52.8,UA
ABQ,ATL,20180912,52.8,UA
ABQ,ATL,20180913,52.8,UA
ABQ,ATL,20180914,165.8,AA
ABQ,ATL,20180915,52.8,UA
ABQ,ATL,20180916,195.8,AA
ABQ,ATL,20180917,52.8,UA
ABQ,ATL,20180918,52.8,UA
ABQ,ATL,20180919,52.8,UA
ABQ,ATL,20180920,143.2,DL
ABQ,ATL,20180921,52.8,UA
ABQ,ATL,20180922,52.8,UA
ABQ,ATL,20180923,218.2,DL
ABQ,ATL,20180924,52.8,UA
ABQ,ATL,20180925,52.8,UA
ABQ,ATL,20180926,52.8,UA
ABQ,ATL,20180927,143.2,DL
ABQ,ATL,20180928,165.8,AA
ABQ,ATL,20180929,52.8,UA
ABQ,ATL,20180930,202.8,UA
ABQ,ATL,20181001,52.8,UA
ABQ,ATL,20181002,52.8,UA
ABQ,ATL,20181003,52.8,UA
ABQ,ATL,20181004,52.8,UA
ABQ,ATL,20181005,52.8,UA
ABQ,ATL,20181006,52.8,UA
ABQ,ATL,20181007,226.8,UA
ABQ,ATL,20181008,280.8,UA
ABQ,ATL,20181009,52.8,UA
ABQ,ATL,20181010,130.8,F9
ABQ,ATL,20181011,160.2,DL
ABQ,ATL,20181012,165.8,UA
