origin,destin,date,price,airline
BOS,CHI,20180616,64.2,NK
BOS,CHI,20180617,54.2,UA
BOS,CHI,20180618,85.2,AA
BOS,CHI,20180619,44.2,AA
BOS,CHI,20180620,44.2,AA
BOS,CHI,20180621,75.2,UA
BOS,CHI,20180622,100.2,NK
BOS,CHI,20180624,100.2,NK
BOS,CHI,20180625,75.2,AA
BOS,CHI,20180626,44.2,AA
BOS,CHI,20180627,64.2,NK
BOS,CHI,20180628,68.2,AA
BOS,CHI,20180629,68.2,AA
BOS,CHI,20180701,77.2,NK
BOS,CHI,20180702,77.2,NK
BOS,CHI,20180703,75.2,AA
BOS,CHI,20180704,44.2,AA
BOS,CHI,20180705,77.2,NK
BOS,CHI,20180706,75.2,UA
BOS,CHI,20180707,54.2,AA
BOS,CHI,20180708,139.2,UA
BOS,CHI,20180709,106.2,AA
BOS,CHI,20180710,44.2,B6
BOS,CHI,20180711,54.2,UA
BOS,CHI,20180712,77.2,NK
BOS,CHI,20180713,106.2,UA
BOS,CHI,20180714,100.2,NK
BOS,CHI,20180715,106.2,AA
BOS,CHI,20180716,77.2,NK
BOS,CHI,20180717,54.2,UA
BOS,CHI,20180718,54.2,UA
BOS,CHI,20180719,77.2,NK
BOS,CHI,20180720,106.2,UA
BOS,CHI,20180721,100.2,NK
BOS,CHI,20180722,106.2,AA
BOS,CHI,20180723,77.2,NK
BOS,CHI,20180724,75.2,AA
BOS,CHI,20180725,54.2,UA
BOS,CHI,20180726,77.2,NK
BOS,CHI,20180730,126.2,B6
BOS,CHI,20180731,75.2,AA
BOS,CHI,20180801,75.2,AA
BOS,CHI,20180802,77.2,NK
BOS,CHI,20180803,106.2,AA
BOS,CHI,20180804,126.2,B6
BOS,CHI,20180805,140.2,AA
BOS,CHI,20180806,106.2,B6
BOS,CHI,20180807,75.2,AA
BOS,CHI,20180808,75.2,AA
BOS,CHI,20180809,77.2,NK
BOS,CHI,20180812,106.2,AA
BOS,CHI,20180813,77.2,NK
BOS,CHI,20180814,44.2,B6
BOS,CHI,20180815,54.2,AA
BOS,CHI,20180816,75.2,AA
BOS,CHI,20180817,100.2,NK
BOS,CHI,20180818,77.2,NK
BOS,CHI,20180819,106.2,AA
BOS,CHI,20180820,77.2,NK
BOS,CHI,20180821,54.2,AA
BOS,CHI,20180822,44.2,AA
BOS,CHI,20180823,54.2,UA
BOS,CHI,20180824,77.2,NK
BOS,CHI,20180825,62.2,NK
BOS,CHI,20180826,75.2,AA
BOS,CHI,20180827,65.2,NK
BOS,CHI,20180828,44.2,AA
BOS,CHI,20180829,44.2,B6
BOS,CHI,20180830,54.2,UA
BOS,CHI,20180831,77.2,NK
BOS,CHI,20180901,72.2,NK
BOS,CHI,20180902,75.2,AA
BOS,CHI,20180903,77.2,NK
BOS,CHI,20180904,44.2,AA
BOS,CHI,20180905,44.2,B6
BOS,CHI,20180906,54.2,AA
BOS,CHI,20180907,77.2,NK
BOS,CHI,20180908,62.2,NK
BOS,CHI,20180909,54.2,AA
BOS,CHI,20180910,65.2,NK
BOS,CHI,20180911,44.2,AA
BOS,CHI,20180912,44.2,AA
BOS,CHI,20180913,54.2,AA
BOS,CHI,20180914,77.2,NK
BOS,CHI,20180915,62.2,NK
BOS,CHI,20180916,54.2,AA
BOS,CHI,20180917,65.2,NK
BOS,CHI,20180918,44.2,B6
BOS,CHI,20180919,44.2,B6
BOS,CHI,20180920,54.2,AA
BOS,CHI,20180921,77.2,NK
BOS,CHI,20180922,62.2,NK
BOS,CHI,20180923,54.2,AA
BOS,CHI,20180924,65.2,NK
BOS,CHI,20180925,44.2,AA
BOS,CHI,20180926,44.2,B6
BOS,CHI,20180927,54.2,AA
BOS,CHI,20180928,77.2,NK
BOS,CHI,20180929,62.2,NK
BOS,CHI,20180930,75.2,AA
BOS,CHI,20181001,65.2,NK
BOS,CHI,20181002,44.2,AA
BOS,CHI,20181003,44.2,AA
BOS,CHI,20181004,100.2,NK
BOS,CHI,20181005,139.2,UA
BOS,CHI,20181007,77.2,NK
BOS,CHI,20181008,139.2,UA
BOS,CHI,20181009,44.2,AA
BOS,CHI,20181010,44.2,AA
BOS,CHI,20181011,54.2,UA
BOS,CHI,20181012,77.2,NK
BOS,CHI,20181013,77.2,NK
BOS,CHI,20181014,77.2,NK
BOS,CHI,20181015,77.2,NK
BOS,CHI,20181016,44.2,AA
BOS,CHI,20181017,44.2,AA
BOS,CHI,20181018,54.2,UA
BOS,CHI,20181019,77.2,NK
BOS,CHI,20181020,77.2,NK
BOS,CHI,20181021,77.2,NK
BOS,CHI,20181022,77.2,NK
BOS,CHI,20181023,44.2,AA
BOS,CHI,20181024,44.2,AA
BOS,CHI,20181025,54.2,UA
BOS,CHI,20181026,77.2,NK
BOS,CHI,20181027,77.2,NK
BOS,CHI,20181028,75.2,AA
BOS,CHI,20181029,77.2,NK
BOS,CHI,20181030,44.2,B6
BOS,CHI,20181031,44.2,AA
BOS,CHI,20181101,54.2,AA
BOS,CHI,20181102,77.2,NK
BOS,CHI,20181103,77.2,NK
BOS,CHI,20181104,68.2,AA
BOS,CHI,20181105,77.2,NK
BOS,CHI,20181106,68.2,AA
BOS,CHI,20181107,68.2,AA
BOS,CHI,20181108,68.2,AA
BOS,CHI,20181109,106.2,AA
BOS,CHI,20181111,68.2,AA
BOS,CHI,20181113,68.2,AA
BOS,CHI,20181114,68.2,AA
BOS,CHI,20181115,68.2,AA
BOS,CHI,20181116,140.2,AA
BOS,CHI,20181117,106.2,AA
BOS,CHI,20181118,68.2,AA
BOS,CHI,20181119,82.2,B6
BOS,CHI,20181120,211.29,UA
BOS,CHI,20181122,106.2,UA
BOS,CHI,20181123,106.2,AA
BOS,CHI,20181124,221.3,UA
BOS,CHI,20181125,248.2,B6
BOS,CHI,20181127,68.2,AA
BOS,CHI,20181128,68.2,AA
BOS,CHI,20181129,68.2,AA
BOS,CHI,20181130,68.2,AA
BOS,CHI,20181202,68.2,AA
BOS,CHI,20181203,68.2,AA
BOS,CHI,20181204,68.2,AA
BOS,LAX,20180617,171.2,UA
BOS,LAX,20180618,171.2,UA
BOS,LAX,20180619,138.2,UA
BOS,LAX,20180620,138.2,UA
BOS,LAX,20180621,171.2,UA
BOS,LAX,20180622,171.2,UA
BOS,LAX,20180623,171.98,B6
BOS,LAX,20180624,161.2,UA
BOS,LAX,20180625,176.98,AS
BOS,LAX,20180626,156.98,AS
BOS,LAX,20180627,136.2,UA
BOS,LAX,20180628,161.2,AA
BOS,LAX,20180629,196.2,AA
BOS,LAX,20180630,196.2,AA
BOS,LAX,20180701,196.2,UA
BOS,LAX,20180702,196.2,UA
BOS,LAX,20180703,156.2,DL
BOS,LAX,20180704,136.2,UA
BOS,LAX,20180705,136.2,UA
BOS,LAX,20180707,196.2,UA
BOS,LAX,20180708,264.2,UA
BOS,LAX,20180709,181.2,DL
BOS,LAX,20180710,176.98,AS
BOS,LAX,20180711,161.2,UA
