"TAHWO101","Hollywood Beach Resort Cruise Port","101 North Ocean Drive","Hollywood","FL","33019","45.0","SAV","CST","No","Room with bath - Standard","Twin","Unknown","20181016"
"RLFLL270","Knights Inn Hallandale","26 Diplomat Parkway","Hallandale","FL","33009","62.1","ARP","D2D","No","Room with bath - Minimum","Double","2","20181016"
"MXPPM371","Motel 6 Pompano Beach","1201 Nw 31st Ave","Pompano Beach","FL","33069","63.99","RAC","U1D","No","Suite","Double","1","20181016"
"RAFLL227","Ramada Fll Arpt Cruise Port","2275 Sr 84 Marina Mile Blvd","Ft Lauderdale","FL","33312","75.6","AR1","C2D","No","Room with bath - Standard","Double","2","20181016"
"MXFLL055","Motel 6 Ft Lauderdale","1801 Sr 84","Ft Lauderdale","FL","33315","67.99","RAC","UD1","No","Suite","Other","Unknown","20181016"
"MXFLL376","Motel 6 Dania Beach","825 E Dania Beach Blvd","Dania Beach","FL","33004","69.99","RAC","N2D","No","Non-smoking","Double","2","20181016"
"DIFLLC16","Days Inn Fll Ap Cruise Port","1700 W Broward Blvd","Ft Lauderdale","FL","33312","72.24","SP1","H3K","No","Room with shower - Minimum","King","3","20181016"
"MSFLL046","Plantation Inn Hotel And Lounge","375 N. State Rd. 7","Plantation","FL","33317","76.46","SEN","N2D","No","Non-smoking","Double","2","20181016"
"RAHWO223","Ramada Hollywood Downtown","1925 Harrison Street","Hollywood","FL","33020-5017","78.4","B03","N1K","No","Non-smoking","King","1","20181016"
"LQFLLDAE","La Quinta Inn Ft Lauderdale Northeast","5727 North Federal Hwy","Fort Lauderdale","FL","33308","89.0","RAC","A2D","No","Room with bath - Superior","Double","2","20181016"
"RAFLL584","Ramada Plaza Ft Lauderdale","5100 N. State Road 7","Ft Lauderdale","FL","FL  33319","89.1","AR1","C5D","No","Room with bath - Standard","Double","5","20181016"
"DIHWO735","Days Inn Fort Lauderdale Holly","2601 N 29th Avenue/i-95","Hollywood","FL","33020","80.1","AAA","H1D","No","Room with shower - Minimum","Double","1","20181016"
"DIFLL154","Days Inn Fort Lauderdale-oakla","1595 W Oakland Park Blvd","Ft Lauderdale","FL","33311","89.99","AR1","H1Q","No","Room with shower - Minimum","Queen","1","20181016"
"BWFLL401","Best Western Ft Lauderdale I95","4800 Nw 9th Ave","Fort Lauderdale","FL","33309 3808","84.99","DB6","A1K","No","Room with bath - Superior","King","1","20181016"
"EAFLL869","Extended Stay America Cyp Cr","5851 North Andrews Ave Extension","Ft Lauderdale","FL","33309","84.99","PRO","A06","No","Room with bath - Superior","Other","0","20181016"
"SCFLL798","Sawgrass Inn Conference Ctr","1711 N University Drive","Plantation","FL","33322","89.0","BAR","F1K","No","Room with shower - Moderate","King","1","20181016"
"OKFLL771","Haven Hotel Fort Lauderdale","3001 Se 6th Avenue","Ft. Lauderdale","FL","33316","89.49","RAC","C1Q","No","Room with bath - Standard","Queen","1","20181016"
"OZFLL564","Super 8 Dania Ft. Lauderdale","333 South Federal Highway","Dania","FL","33004","89.1","AR1","H2Q","No","Room with shower - Minimum","Queen","2","20181016"
"EAFLLFLD","Extended Stay America Tamarac","3873 West Commercial Blvd","Tamarac","FL","33309","94.49","PRO","U3D","No","Suite","Double","3","20181016"
"XTFLL7C8","Sawgrass Grand Hotel","3003 North University Drive","Sunrise","FL","33322","79.2","ADV","S1K","No","Suite","King","1","20181016"
