"MXPDXF01","Motel 6 Vancouver Wa","221 Ne Chkalov Drive","Vancouver","WA","98684","64.99","RAC","N1Q","No","Non-smoking","Queen","1","20181208"
"MXPDX070","Motel 6 Portland Central","3104-06 Se Powell Blvd","Portland","OR","97202","79.99","RAC","U1Q","No","Suite","Queen","1","20181208"
"OZPDX888","Super 8 Portland Airport","11011 Ne Holman","Portland","OR","97220-1208","94.5","AAA","PNQ","No","Executive suite","Queen","Unknown","20181208"
"YXPDX485","Park Lane Suites And Inn","809 Sw King Ave","Portland","OR","97205","107.0","ARP","C1Q","No","Room with bath - Standard","Queen","1","20181208"
"RLPDX130","Red Lion Hotel On The River Jantzen Beac","909 N Hayden Island Drive","Portland","OR","97217","126.65","ARP","R2Q","No","unknown","Queen","2","20181208"
"ALPDX043","Aloft Portland Aiport","9920 Ne Cascades Parkway","Portland","OR","97220","140.45","A16","A1K","No","Room with bath - Superior","King","1","20181208"
"HYPDXAPT","Hyatt Place Pdx Arpt Cascade Station","9750 Northeast Cascades Pkwy","Portland","OR","97220","141.55","***","KNG","No","Room with bath/shower - Minimum","Other","Unknown","20181208"
"CXPDX962","Country Inn Suites Portland","7025 Ne Alderwood Rd","Portland","OR","97218","144.0","RAC","A1Q","No","Room with bath - Superior","Queen","1","20181208"
"RCPDXPDR","Residence Inn Pearl Marriott","1150 Nw 9th Ave.","Portland","OR","97209","144.0","S9R","XMI","No","unknown","Other","Unknown","20181208"
"YXPDXAHP","Ace Hotel - Portland","1022 Sw Stark St","Portland","OR","97205","165.99","RAC","C1Q","No","Room with bath - Standard","Queen","1","20181208"
"SIPDX881","Sheraton Pdx Airport","8235 Northeast Airport Way","Portland","OR","97220","166.95","A16","H2D","No","Room with shower - Minimum","Double","2","20181208"
"BTPDX512","Hotel Rose","50 Sw Morrison","Portland","OR","97204 3390","178.0","PRO","G1K","No","Room with shower - Standard","King","1","20181208"
"WXPDXBEN","The Benson. A Coast Hotel","309 S.w.broadway","Portland","OR","97205","188.0","AAA","B1Q","No","Room with bath - Moderate","Queen","1","20181208"
"YXPDXHHP","The Heathman Hotel Portland","1001 Sw Broadway","Portland","OR","97205","209.99","P10","H1Q","No","Room with shower - Minimum","Queen","1","20181208"
"LCPDX757","The Nines Portland","525 Sw Morrison","Portland","OR","97204","259.2","A16","A1K","No","Room with bath - Superior","King","1","20181208"
"YXPDXGOV","Sentinel","614 Sw 11th Ave","Portland","OR","97205","263.2","PRO","C1Q","No","Room with bath - Standard","Queen","1","20181208"
