"OZYQG441","Super 8 By Wyndham Windsor Dougall","2498 Dougall Avenue","Windsor","ON","N8X 1T2","54.74","ARP","C1Q","No","Room with bath - Standard","Queen","1","20181119"
"YXYQG147","Lexington Inn And Suites","2130 Division Road","Windsor","ON","N8W 2A1","60.22","SNR","C1D","No","Room with bath - Standard","Double","1","20181119"
"OZYQG994","Sup 8 Windsor Ambassador Brdge","2265 Huron Church Rd","Windsor","ON","N9C2L9","64.63","SP1","C2Q","No","Room with bath - Standard","Queen","2","20181119"
"YXDTW038","Rivertown Inn   Suites","1316 E Jefferson","Detroit","MI","48207","69.99","RAC","A1D","No","Room with bath - Superior","Double","1","20181119"
"BUDTT593","Baymont Downtown Detroit","3140 E Heffersin Ave","Detroit","MI","48207","71.99","SNR","N1K","No","Non-smoking","King","1","20181119"
"TLYQG139","Travelodge Windsor","2225 Division Road","Windsor","ON","N8W 1Z7","74.14","VU1","C1Q","No","Room with bath - Standard","Queen","1","20181119"
"SCYQG884","Sunbridge Hotel Windsor","430 Ouellette Ave","Windsor","ON","N9A 1B2","85.0","BO1","F1Q","No","Room with shower - Moderate","Queen","1","20181119"
"QIYQG665","Quality Inn And Suites Downtown","675 Goyeau Street","Windsor","ON","N9A 1H3","78.7","AAA","*1Q","No","Unspecified","Queen","1","20181119"
"BWYQG117","Best Western Plus Waterfront","277 Riverside Drive West","Windsor","ON","N9A 5K4","94.04","DB6","W1Q","No","Room at weekend rate","Queen","1","20181119"
"CIYQG901","Comfort Inn And Suites Ambassador Bridge","2330 Huron Church Road","Windsor","ON","N9E 3S6","95.8","SNR","N2Q","No","Non-smoking","Queen","2","20181119"
"HXDTW114","Hampton Inn Detroit-southgate","13555 Prechter Blvd","Southgate","MI","48195","103.55","RAC","B2Q","No","Room with bath - Moderate","Queen","2","20181119"
"CIDET194","Comfort Inn Downtown","1999 E Jefferson Ave","Detroit","MI","48207","107.1","SNR","N1K","No","Non-smoking","King","1","20181119"
"HRYQGCWC","Caesars Windsor","377 Riverside Drive East","Windsor","ON","N9A 7H7","120.9","SNR","G1K","No","Room with shower - Standard","King","1","20181119"
"CYDTTDBC","Courtyard Dearborn Marriott","5200 Mercury Dr","Dearborn","MI","48126","135.0","RAC","XMI","No","unknown","Other","Unknown","20181119"
"HXYQG184","Hampton Stes By Hilton Windsor","1840 Huron Church Rd","Windsor","ON","N9C 2L3","120.9","RAC","B2Q","No","Room with bath - Moderate","Queen","2","20181119"
"HIDTTCE2","Holiday Inn Exp Stes Downtown","1020 Washington Blvd","Detroit","MI","48226","126.0","482","*1K","No","Unspecified","King","1","20181119"
"CPDTT8B1","Crowne Plaza Downtown Conv Ctr","2 Washington Blvd","Detroit","MI","48226","144.0","482","*2B","No","Unspecified","Other","2","20181119"
"CYDTTDCC","Courtyard Downtown Marriott","333 East Jefferson","Detroit","MI","48226","160.65","S9R","XMI","No","unknown","Other","Unknown","20181119"
"DTDTW603","Dbltree Detroit Dearborn","5801 Southfield Expressway","Detroit","MI","48228","168.0","RAC","A1D","No","Room with bath - Superior","Double","1","20181119"
"GIDTW238","Hilton Grdn Inn Det Downtow","351 Gratiot Avenue","Detroit","MI","48226","179.0","RAC","B2Q","No","Room with bath - Moderate","Queen","2","20181119"
