"SCYQG884","Sunbridge Hotel Windsor","430 Ouellette Ave","Windsor","ON","N9A 1B2","85.0","BO1","F1Q","No","Room with shower - Moderate","Queen","1","20190117"
"BWDTW089","Best Western Greenfield Inn","3000 Enterprise Drive","Allen Park","MI","48101","91.96","DB6","B1K","No","Room with bath - Moderate","King","1","20190117"
"MVDETMGM","Mgm Grand Detroit","1777 Third Street","Detroit","MI","48226","309.0","WKD","A1K","No","Room with bath - Superior","King","1","20190117"
"WIDTT001","Westin Book Cadillac Detroit","1114 Washington Boulevard","Detroit","MI","48226","442.0","DO0","A1K","No","Room with bath - Superior","King","1","20190117"
