"MTPHL469","Microtel Inn & Suites By Wyndh","155 S Stewart Avenue","Ridley Park","PA","19078-1001","109.65","PRO","NQ2","No","Non-smoking","Other","Unknown","20181231"
"SIPHL992","Sheraton Philly Univ Cty","3549 Chestnut Street","Philadelphia","PA","19104","129.97","A16","C1K","No","Room with bath - Standard","King","1","20181231"
"RCPHLRDR","Residence Inn Deptfrd Marriott","1154 Hurffville","Deptford","NJ","08096","135.0","S9R","XMI","No","unknown","Other","Unknown","20181231"
"SIPHLXEZ","Sheraton Suites Phl Airport","4101b Island Avenue","Philadelphia","PA","19153","137.96","A16","A1K","No","Room with bath - Superior","King","1","20181231"
"BRPHLBRB","Renaissance Phil Airport Hotel","500 Stevens Drive","Philadelphia","PA","19113","143.0","RAC","APN","No","Room with bath - Superior","Other","Unknown","20181231"
"CYPHLPTC","Courtyard By Marriott Deptford","1251 Hurffville Road","Deptford Township","NJ","08096","135.0","S9R","XMI","No","unknown","Other","Unknown","20181231"
"CYPHLATC","Courtyard Airport Marriott","8900 Bartram Ave","Philadelphia","PA","19153","165.0","S9R","XMI","No","unknown","Other","Unknown","20181231"
"ALPHL181","Aloft Philadelphia Airport","4301 Island Avenue","Philadelphia","PA","19153","169.0","BZF","A1K","No","Room with bath - Superior","King","1","20181231"
"MCPHLDTM","Philadelphia Marriott Downtown","1201 Market St","Philadelphia","PA","19107","169.15","S9R","XMI","No","unknown","Other","Unknown","20181231"
"MDPHL238","Le Meridien Philadelphia","1421 Arch Street","Philadelphia","PA","19102","180.43","DO0","D1K","No","Room with bath - Minimum","King","1","20181231"
"CCPHL665","Clarion Hotel Philadelphia International","76 Industrial Highway","Essington","PA","19029","189.0","RAC","N2D","No","Non-smoking","Double","2","20181231"
"SIPHL980","Four Points City Ctr Philly","1201 Race Street","Philadelphia","PA","19107","289.98","DO0","A1K","No","Room with bath - Superior","King","1","20181231"
"WIPHLXBY","Westin Philadelphia","99 South 17th Street","Philadelphia","PA","19103","299.0","DO0","A1K","No","Room with bath - Superior","King","1","20181231"
"WYPHL21C","Wyndham Philadelphia Historic","400 Arch Street","Philadelphia","PA","19106","313.65","AA1","C2D","No","Room with bath - Standard","Double","2","20181231"
"WWPHL766","Warwick Rittenhouse Square","220 South 17th Street","Philadelphia","PA","19103-6179","279.2","SRS","H1K","No","Room with shower - Minimum","King","1","20181231"
"SIPHL166","Sheraton Society Hill Hotel","1 Dock Street","Philadelphia","PA","19106","331.55","A16","C1K","No","Room with bath - Standard","King","1","20181231"
"DTPHLDDT","Dbltree Philadelphia Ctr City","237 South Broad Street","Philadelphia","PA","19107","287.0","RAC","F1Q","No","Room with shower - Moderate","Queen","1","20181231"
"SNPHLAC4","Sonesta Philadelphia Downtown","1800 Market Street","Philadelphia","PA","19103","339.0","BA4","D1Q","No","Room with bath - Minimum","Queen","1","20181231"
"HHPHL483","Hilton Hotel Philadelphia","201 South Columbus Blvd","Philadelphia","PA","19106","469.0","RAC","D2Q","No","Room with bath - Minimum","Queen","2","20181231"
"RZPHLRTZ","The Ritz-carlton Philadelphia","10 Avenue Of The Arts","Philadelphia","PA","19102","619.0","RAC","SPV","No","Suite","Other","Unknown","20181231"
