"MTMSP100","Microtel Inn & Suites By Wyndh","3000 Denmark Avenue","Eagan","MN","55121","59.49","PRO","PNQ","No","Executive suite","Queen","Unknown","20181101"
"MTMSP200","Microtel Inn & Suites By Wyndh","801 East 78th St","Bloomington","MN","55420","59.5","PRO","NQ1","No","Non-smoking","Other","Unknown","20181101"
"MXMSPC73","Motel 6 Minneapolis - Brooklyn Center","2741 Freeway Blvd","Brooklyn Center","MN","55430","65.99","RAC","UQ1","No","Suite","Other","Unknown","20181101"
"MXMSPA78","Motel 6 Minneapolis Airport - Mall Of Am","7640 Cedar Ave S","Richfield","MN","55423","65.99","RAC","U2D","No","Suite","Double","2","20181101"
"MXMSP759","Motel 6 Minneapolis N Roseville","2300 Cleveland Ave N","Roseville","MN","55113","67.99","RAC","U1Q","No","Suite","Queen","1","20181101"
"LQMSPJCW","La Quinta Inn Ste Minneapolis Nw","7011 Northland Circle","Brooklyn Park","MN","55428-1543","72.0","RAC","A2D","No","Room with bath - Superior","Double","2","20181101"
"OZMSP634","Super 8 Bloomington-airport","7800 2nd Ave South","Bloomington","MN","55402","84.6","AAA","Q11","No","unknown","Other","1","20181101"
"BWMSP126","Best Western Eden Prairie Inn","11500 West 78th Street","Eden Prairie","MN","55344","93.49","DB6","A1Q","No","Room with bath - Superior","Queen","1","20181101"
"BWMSP140","Best Western Plus Minneapolis","2050 Freeway Blvd","Brooklyn Center","MN","55430-1752","103.99","DB6","C1K","No","Room with bath - Standard","King","1","20181101"
"CXMSP713","Country Inn Stes Brooklyn Ctr","2550 Freeway Boulevard","Brooklyn Center","MN","55430","92.65","PRO","O2Q","No","unknown","Queen","2","20181101"
"MUMSPMIN","Millennium Minneapolis","1313 Nicollet Mall","Minneapolis","MN","55403","101.15","AD1","H1D","No","Room with shower - Minimum","Double","1","20181101"
"SIMSP654","Four Points Mall Of America","7745 Lyndale Ave South","Richfield","MN","55423","101.52","A16","C1K","No","Room with bath - Standard","King","1","20181101"
"RDMSP768","Radisson Minneapolis St Paul North","2540 North Cleveland Avenue","Roseville","MN","55113","105.4","PRO","ROH","Yes","Varies","Varies","Varies","20181101"
"BWMSP143","Best Western Plus St. Paul","1000 Gramsie Rd","Shoreview","MN","55216-2949","118.15","DB6","W2Q","No","Room at weekend rate","Queen","2","20181101"
"XVMSPMSS","Springhill Stes Arpt Marriott","2870 Metro Drive","Bloomington","MN","55425","126.65","RAC","XMI","No","unknown","Other","Unknown","20181101"
"ESMSPEAA","Embassy Suites Bloomington Mn","2800 American Bl West","Bloomington","MN","55431","126.65","AAA","B1D","No","Room with bath - Moderate","Double","1","20181101"
"RAMSP652","Ramada Golden Valley Minneplis","6300 Wayzata Boulevard","Golden Valley","MN","55416-1212","115.37","AA2","N1K","No","Non-smoking","King","1","20181101"
"LQMSP751","La Quinta Inn Ste Minneapolis Minnetonka","10420 Wayzata Blvd","Minnetonka","MN","55305","119.0","COR","C1K","No","Room with bath - Standard","King","1","20181101"
"DTMSP852","Doubletree By Hilton","2200 Freeway Boulevard","Minneapolis","MN","55430","115.2","RAC","F1K","No","Room with shower - Moderate","King","1","20181101"
"CPMSPA26","Crowne Plaza Msp Airport Mall","3 Appletree Square","Bloomington","MN","55425","114.99","482","*RH","No","Unspecified","Other","Unknown","20181101"
