"OZPHL861","Super 8 Bellmawr Nj Philadelph","341 South Black Horse Pike","Bellmawr","NJ","08031","69.3","AAA","NK1","No","Non-smoking","Other","Unknown","20181213"
"HHPHL615","Hilton Inn At Penn","3600 Sansom Street","Philadelphia","PA","19104","80.0","RAC","E2D","No","Room with shower - Superior","Double","2","20181213"
"MTPHL469","Microtel Inn & Suites By Wyndh","155 S Stewart Avenue","Ridley Park","PA","19078-1001","109.65","PRO","NQ2","No","Non-smoking","Other","Unknown","20181213"
"BRPHLBRB","Renaissance Phil Airport Hotel","500 Stevens Drive","Philadelphia","PA","19113","135.0","RAC","APN","No","Room with bath - Superior","Other","Unknown","20181213"
"XTPHL322","The Independent Hotel","1234 Locust Street","Philadelphia","PA","19107","122.32","APR","1QB","No","unknown","Other","Unknown","20181213"
"WYPHL21C","Wyndham Philadelphia Historic","400 Arch Street","Philadelphia","PA","19106","143.65","AA1","C2D","No","Room with bath - Standard","Double","2","20181213"
"FNPHLFAF","Fairfield Inn Airport Marriott","8800 Bartram Ave","Philadelphia","PA","19153","152.0","S9R","XMI","No","unknown","Other","Unknown","20181213"
"ALPHL181","Aloft Philadelphia Airport","4301 Island Avenue","Philadelphia","PA","19153","152.15","A16","A1K","No","Room with bath - Superior","King","1","20181213"
"SIPHL992","Sheraton Philly Univ Cty","3549 Chestnut Street","Philadelphia","PA","19104","159.0","BZF","D2D","No","Room with bath - Minimum","Double","2","20181213"
"BHPHLPAR","Hawthorn Suites By Wyndham Phi","4630 Island Avenue","Philadelphia","PA","19153","143.1","AAA","SPQ","No","Suite","Queen","Unknown","20181213"
"LZPHLLHP","Loews Philadelphia Hotel","1200 Market St","Philadelphia","PA","19107","169.0","RA0","H2R","No","Room with shower - Minimum","Other","2","20181213"
"BWPHL135","Best Western Plus Philadelphia","1225 Vine St","Philadelphia","PA","19107 1116","152.15","DB6","W1K","No","Room at weekend rate","King","1","20181213"
"SNPHLAC4","Sonesta Philadelphia Downtown","1800 Market Street","Philadelphia","PA","19103","179.0","BNB","H2U","No","Room with shower - Minimum","Other","2","20181213"
"MDPHL238","Le Meridien Philadelphia","1421 Arch Street","Philadelphia","PA","19102","189.0","DO0","D1K","No","Room with bath - Minimum","King","1","20181213"
"WWPHL766","Warwick Rittenhouse Square","220 South 17th Street","Philadelphia","PA","19103-6179","199.2","SRS","H1K","No","Room with shower - Minimum","King","1","20181213"
"WIPHLXBY","Westin Philadelphia","99 South 17th Street","Philadelphia","PA","19103","239.0","DO0","G1K","No","Room with shower - Standard","King","1","20181213"
"WVPHL716","The Study At University City","20 40 South 33rd St","Philadelphia","PA","19104","209.0","RAC","F2D","No","Room with shower - Moderate","Double","2","20181213"
"HYPHLPHB","The Bellevue Hotel","200 South Broad St","Philadelphia","PA","19102","244.0","***","R2Q","No","unknown","Queen","2","20181213"
"RZPHLRTZ","The Ritz-carlton Philadelphia","10 Avenue Of The Arts","Philadelphia","PA","19102","329.0","RAC","REG","No","unknown","Other","Unknown","20181213"
"LWPHL776","The Rittenhouse","210 West Rittenhouse Square","Philadelphia","PA","19103","323.1","PRO","B22","No","Room with bath - Moderate","Other","2","20181213"
