"BWCVG111","Bw Plus Cincinnati Riverfront","200 Crescent Avenue","Covington","KY","41011-1002","107.1","DB6","W2Q","No","Room at weekend rate","Queen","2","20190126"
"WICVGCIN","Westin Cincinnati","21 East 5th Street","Cincinnati","OH","45202","169.0","BZF","B1K","No","Room with bath - Moderate","King","1","20190126"
"YXCVG21C","21c Museum Hotel Cincinnati","609 Walnut Street","Cincinnati","OH","45202","224.0","RA2","A2Q","No","Room with bath - Superior","Queen","2","20190126"
