"OZMEM126","Super 8 West Memphis Ar","901 Martin Luther King Jr Dr","West Memphis","AR","72301-3710","57.0","RAC","Q11","No","unknown","Other","1","20181122"
"OZMEM496","Super 8 Memp Dwntn Gracelnd Ar","340 W Illinois Street","Memphis","TN","38106","65.0","RAC","Q11","No","unknown","Other","1","20181122"
"LQMEM377","La Quinta Inn Ste Mem Ap Graceland","2979 Millbranch Rd","Memphis","TN","38116","92.0","RAC","H1K","No","Room with shower - Minimum","King","1","20181122"
"FNMEMPLF","Fairfield Inn N Stes Marriott","4760 Showcase Blvd","Memphis","TN","38115","85.5","S9R","XMI","No","unknown","Other","Unknown","20181122"
"BWMEM175","Best Western Plus Gen X Inn","1177 Madison Avenue","Memphis","TN","38104","89.99","SRS","A1K","No","Room with bath - Superior","King","1","20181122"
"HXMEM73E","Hampton Inn Memphis Poplar","5320 Poplar Ave","Memphis","TN","38117","111.6","AAA","D1Q","No","Room with bath - Minimum","Queen","1","20181122"
"CYMEMCAC","Courtyard Airport Marriott","1780 Nonconnah Blvd","Memphis","TN","38131","164.0","RAC","REG","No","unknown","Other","Unknown","20181122"
"DTMEM030","Dbltree By Hilton Memphis Downtown","185 Union Avenue","Memphis","TN","38103","141.3","RAC","C1Q","No","Room with bath - Standard","Queen","1","20181122"
"CYMEMCDC","Courtyard Downtown Marriott","75 Jefferson Ave","Memphis","TN","38103","195.0","S9R","XMI","No","unknown","Other","Unknown","20181122"
"XVMEMMPS","Springhill Stes Dwtn Marriott","85 West Court Avenue","Memphis","TN","38103","206.1","RAC","APN","No","Room with bath - Superior","Other","Unknown","20181122"
