"ARMCIACC","Ac By Marriott Kansas City","560 Westport Road","Kansas City","MO","64111","143.0","RAC","APN","No","Room with bath - Superior","Other","Unknown","20181208"
"WIMCICRO","Westin Kansas City","One East Pershing Road","Kansas City","MO","64108","245.65","A16","C1K","No","Room with bath - Standard","King","1","20181208"
"SIMCI095","Sheraton Country Club Plaza","770 W. 47th Street","Kansas City","MO","64112","254.15","A16","C1K","No","Room with bath - Standard","King","1","20181208"
