"SCYQG884","Sunbridge Hotel Windsor","430 Ouellette Ave","Windsor","ON","N9A 1B2","85.0","BO1","F1Q","No","Room with shower - Moderate","Queen","1","20181231"
"HXDTW114","Hampton Inn Detroit-southgate","13555 Prechter Blvd","Southgate","MI","48195","151.05","RAC","B2Q","No","Room with bath - Moderate","Queen","2","20181231"
"DTDTW603","Dbltree Detroit Dearborn","5801 Southfield Expressway","Detroit","MI","48228","168.0","RAC","A1D","No","Room with bath - Superior","Double","1","20181231"
"HIDTTCE2","Holiday Inn Exp Stes Downtown","1020 Washington Blvd","Detroit","MI","48226","171.0","482","*1K","No","Unspecified","King","1","20181231"
"WIDTT001","Westin Book Cadillac Detroit","1114 Washington Boulevard","Detroit","MI","48226","304.2","DO0","C1K","No","Room with bath - Standard","King","1","20181231"
"ALDTT773","Aloft Detroit David Whitney","One Park Ave","Detroit","MI","48226","359.1","DO0","A1K","No","Room with bath - Superior","King","1","20181231"
"MCDTTDTM","Marriott At Renaissance Center","400 Renaissance Dr","Detroit","MI","48243","429.0","RAC","REG","No","unknown","Other","Unknown","20181231"
"MVDETMGM","Mgm Grand Detroit","1777 Third Street","Detroit","MI","48226","699.0","WKD","A1K","No","Room with bath - Superior","King","1","20181231"
