"MXPDXF01","Motel 6 Vancouver Wa","221 Ne Chkalov Drive","Vancouver","WA","98684","59.99","RAC","N1Q","No","Non-smoking","Queen","1","20181204"
"OZPDX888","Super 8 Portland Airport","11011 Ne Holman","Portland","OR","97220-1208","75.6","AAA","PNQ","No","Executive suite","Queen","Unknown","20181204"
"MXPDX070","Motel 6 Portland Central","3104-06 Se Powell Blvd","Portland","OR","97202","69.99","RAC","U1Q","No","Suite","Queen","1","20181204"
"RDPDX758","Radisson Htl Portland Airport","6233 North East 78th Court","Portland","OR","97218","118.15","PRO","O1Q","No","unknown","Queen","1","20181204"
"RLPDX130","Red Lion Hotel On The River Jantzen Beac","909 N Hayden Island Drive","Portland","OR","97217","126.65","ARP","R2Q","No","unknown","Queen","2","20181204"
"ALPDX043","Aloft Portland Aiport","9920 Ne Cascades Parkway","Portland","OR","97220","143.1","DO0","A1K","No","Room with bath - Superior","King","1","20181204"
"RCPDXPDR","Residence Inn Pearl Marriott","1150 Nw 9th Ave.","Portland","OR","97209","161.0","S9R","XMI","No","unknown","Other","Unknown","20181204"
"BTPDX512","Hotel Rose","50 Sw Morrison","Portland","OR","97204 3390","165.0","PRO","G1K","No","Room with shower - Standard","King","1","20181204"
"WXPDXBEN","The Benson. A Coast Hotel","309 S.w.broadway","Portland","OR","97205","167.0","UU2","B1Q","No","Room with bath - Moderate","Queen","1","20181204"
"HYPDXAPT","Hyatt Place Pdx Arpt Cascade Station","9750 Northeast Cascades Pkwy","Portland","OR","97220","170.05","***","QQN","No","unknown","Other","Unknown","20181204"
"SIPDX881","Sheraton Pdx Airport","8235 Northeast Airport Way","Portland","OR","97220","170.1","DO0","A1K","No","Room with bath - Superior","King","1","20181204"
"CXPDX962","Country Inn Suites Portland","7025 Ne Alderwood Rd","Portland","OR","97218","181.0","GOV","G2Q","No","Room with shower - Standard","Queen","2","20181204"
"LCPDX757","The Nines Portland","525 Sw Morrison","Portland","OR","97204","363.0","BZF","B2Q","No","Room with bath - Moderate","Queen","2","20181204"
