"OZMEM126","Super 8 West Memphis Ar","901 Martin Luther King Jr Dr","West Memphis","AR","72301-3710","60.3","AAA","Q11","No","unknown","Other","1","20181228"
"OZMEM496","Super 8 Memp Dwntn Gracelnd Ar","340 W Illinois Street","Memphis","TN","38106","67.5","AAA","Q11","No","unknown","Other","1","20181228"
"LQMEM377","La Quinta Inn Ste Mem Ap Graceland","2979 Millbranch Rd","Memphis","TN","38116","99.0","RAC","H1K","No","Room with shower - Minimum","King","1","20181228"
