"RLLAX874","Guesthouse Inn And Su","8455 Telegraph Rd","Pico Rivera","CA","90660","62.0","ARP","H1Q","No","Room with shower - Minimum","Queen","1","20190125"
"MXFUL252","Motel 6 Los Angeles - Whittier","8221 S Pioneer Blvd","Whittier","CA","90606","85.99","RAC","UND","No","Suite","Double","Unknown","20190125"
"MXBUR196","Motel 6 Los Angeles - Rosemead","1001 S San Gabriel Blvd","Rosemead","CA","91770","89.99","RAC","UD1","No","Suite","Other","Unknown","20190125"
"OZLAX109","Super 8 Inglewood-lax Arpt","4238 W Century Blvd.","Inglewood","CA","90304","90.0","GOV","NQ1","No","Non-smoking","Other","Unknown","20190125"
"OZLAX839","Super 8 Los Angeles-alhambra","5350 S Huntington Drive","Los Angeles","CA","90032","90.0","AAA","NQ1","No","Non-smoking","Other","Unknown","20190125"
"MXLAXB63","Motel 6 Los Angeles Lax","5101 W Century Blvd","Inglewood","CA","90304","95.99","RAC","U1Q","No","Suite","Queen","1","20190125"
"OZBUR176","Super 8 Motel - Pasadena La Ar","2863 E. Colorado Blvd","Pasadena","CA","91107","89.25","SP1","C4Q","No","Room with bath - Standard","Queen","4","20190125"
"OZBUR224","Super 8 Hollywood La Area","1536 N Western Ave","Hollywood","CA","90027","107.1","AAA","NQ1","No","Non-smoking","Other","Unknown","20190125"
"OZLAX525","Super 8 Los Angeles Downtown","1341 W Sunset Boulevard","Los Angeles","CA","90026","108.9","AAA","PNK","No","Executive suite","King","Unknown","20190125"
"WVLAX684","Los Angeles Athletic Club","431 West Seventh Street","Los Angeles","CA","90014","110.0","GVS","A1Q","No","Room with bath - Superior","Queen","1","20190125"
"BWLAX459","Best Western Airpark Hotel","640 W Manchester Blvd","Inglewood","CA","90301","114.74","DB6","A1K","No","Room with bath - Superior","King","1","20190125"
"LQLAXCZD","La Quinta Inn Ste Lax","5249 West Century Boulevard","Los Angeles","CA","90045","115.0","RAC","E1K","No","Room with shower - Superior","King","1","20190125"
"MXBURD18","Motel 6 Los Angeles - Hollywood","1738 N Whitley Ave","Hollywood","CA","90028","99.99","RAC","N1K","No","Non-smoking","King","1","20190125"
"EALAX219","Extended Stay America Lax Air","6531 South Sepulveda","Los Angeles","CA","90045","116.99","PRO","A06","No","Room with bath - Superior","Other","0","20190125"
"BRLAXRRB","Renaissance Los Angeles Airport","9620 Airport Boulevard","Los Angeles","CA","90045","118.0","RAC","XMI","No","unknown","Other","Unknown","20190125"
"FNLAXXLF","Fairfield Inn N Stes Marriott","525 N Sepulveda Blvd","El Segundo","CA","90245","135.0","S9R","XMI","No","unknown","Other","Unknown","20190125"
"SILAXXEB","Four Points Los Angeles Arpt","9750 Airport Blvd","Los Angeles","CA","90045","135.15","A16","A1K","No","Room with bath - Superior","King","1","20190125"
"SCLAX625","Hotel Solaire","1710 West 7th Street","Los Angeles","CA","90017","139.0","RAC","F1Q","No","Room with shower - Moderate","Queen","1","20190125"
"BWLAX517","Best Western Plus Suites Hotel","5005 West Century Boulevard","Los Angeles","CA","90304","129.04","DB6","C1K","No","Room with bath - Standard","King","1","20190125"
"WXBUR071","The Safari Inn. A Coast Hotel","1911 Olive Avenue","Burbank","CA","91506","149.0","RAC","B2D","No","Room with bath - Moderate","Double","2","20190125"
