"SCYQG884","Sunbridge Hotel Windsor","430 Ouellette Ave","Windsor","ON","N9A 1B2","81.73","BO1","F1Q","No","Room with shower - Moderate","Queen","1","20181223"
"MVDETMGM","Mgm Grand Detroit","1777 Third Street","Detroit","MI","48226","179.0","WKD","A1K","No","Room with bath - Superior","King","1","20181223"
"AKDTWAKA","The Henry","300 Town Center Drive","Dearborn","MI","48126","236.55","RAC","XAP","No","unknown","Pull-out","Unknown","20181223"
"MCDTWDBM","Dearborn Inn Marriott Hotel","20301 Oakwood Boulevard","Dearborn","MI","48124","212.0","S9R","XMI","No","unknown","Other","Unknown","20181223"
"MCDTTDTM","Marriott At Renaissance Center","400 Renaissance Dr","Detroit","MI","48243","220.0","S9R","XMI","No","unknown","Other","Unknown","20181223"
