"HJCLE081","Howard Johnson Cleveland Airpo","16644 Snow Road","Brook Park","OH","44142","51.0","SP1","C5D","No","Room with bath - Standard","Double","5","20181023"
"HXCLEH06","Hampton Inn Cleveland Downtown","1460 East Ninth St","Cleveland","OH","44114","159.0","RAC","B2Q","No","Room with bath - Moderate","Queen","2","20181023"
"DRCLE170","Drury Plaza Hotel Cleveland Downtown","1380 East Sixth Street","Cleveland","OH","44114","159.99","RAC","N3Q","No","Non-smoking","Queen","3","20181023"
