"BWCVG111","Bw Plus Cincinnati Riverfront","200 Crescent Avenue","Covington","KY","41011-1002","116.1","DB6","A2Q","No","Room with bath - Superior","Queen","2","20181211"
"ESCVGD86","Embassy Suites Blue Ash","4554 Lake Forest Drive","Cincinnati","OH","45242","151.05","AAA","A1D","No","Room with bath - Superior","Double","1","20181211"
"YXCVG21C","21c Museum Hotel Cincinnati","609 Walnut Street","Cincinnati","OH","45202","239.0","RA2","A2Q","No","Room with bath - Superior","Queen","2","20181211"
