"DRMCI027","Drury Inn And Suites Shawnee Mission","9009 Shawnee Mission Parkway","Merriam","KS","66202","109.99","WKD","N1K","No","Non-smoking","King","1","20181124"
"BWMCI158","Best Western Plus Seville","4309 Main Street","Kansas City","MO","64111","123.24","DB6","C1K","No","Room with bath - Standard","King","1","20181124"
"ARMCIACC","Ac By Marriott Kansas City","560 Westport Road","Kansas City","MO","64111","143.0","RAC","APN","No","Room with bath - Superior","Other","Unknown","20181124"
"MCMCIDTM","Marriott Kc Downtown","200 W 12th St","Kansas City","MO","641051638","169.0","S9R","XMI","No","unknown","Other","Unknown","20181124"
"SIMCI709","Sheraton Kansas City Hotel","2345 Mcgee Street","Kansas City","MO","64108","201.75","A16","A1K","No","Room with bath - Superior","King","1","20181124"
"HHMCI601","Hilton President Kansas City","1329 Baltimore","Kansas City","MO","64105","226.56","RAC","C1K","No","Room with bath - Standard","King","1","20181124"
"WIMCICRO","Westin Kansas City","One East Pershing Road","Kansas City","MO","64108","245.65","A16","C1K","No","Room with bath - Standard","King","1","20181124"
"SCMKC949","Value Place Kansas City","8805 Leeds Rd.","Kansas City","MO","64129","299.99","RA1","FDA","No","Room with shower - Moderate","Other","Unknown","20181124"
