"TAHWO101","Hollywood Beach Resort Cruise Port","101 North Ocean Drive","Hollywood","FL","33019","45.0","SAV","CST","No","Room with bath - Standard","Twin","Unknown","20180829"
"MXPPM371","Motel 6 Pompano Beach","1201 Nw 31st Ave","Pompano Beach","FL","33069","53.99","RAC","U1D","No","Suite","Double","1","20180829"
"DIFLLC16","Days Inn Fll Ap Cruise Port","1700 W Broward Blvd","Ft Lauderdale","FL","33312","63.74","SP1","H3K","No","Room with shower - Minimum","King","3","20180829"
"SCFLL798","Sawgrass Inn Conference Ctr","1711 N University Drive","Plantation","FL","33322","59.0","BAR","F1K","No","Room with shower - Moderate","King","1","20180829"
"LQFLL942","La Quinta Inn Ste Cypress Creek","999 West Cypress Creek Road","Ft Lauderdale","FL","33309","58.65","RAC","C2D","No","Room with bath - Standard","Double","2","20180829"
"MXFLL376","Motel 6 Dania Beach","825 E Dania Beach Blvd","Dania Beach","FL","33004","59.99","RAC","N2D","No","Non-smoking","Double","2","20180829"
"RAFLL584","Ramada Plaza Ft Lauderdale","5100 N. State Road 7","Ft Lauderdale","FL","FL  33319","71.1","AR1","C5D","No","Room with bath - Standard","Double","5","20180829"
"LQFLL982","La Quinta Inn Ste Plantation","8101 Peters Road","Plantation","FL","33324","63.75","RAC","C2D","No","Room with bath - Standard","Double","2","20180829"
"LQFLLLKW","La Quinta Inn Ste Ft Lauderdale Tamarac","5070 North State Road 7","Ft Lauderdale","FL","33319","63.75","RAC","C1D","No","Room with bath - Standard","Double","1","20180829"
"YXFLL000","Americas Best Inn And Suites","2935 N Federal Highway","Fort Lauderdale","FL","33306","71.99","SEN","N1D","No","Non-smoking","Double","1","20180829"
"TLFLL970","Travelodge By Wyndham Fort Lau","4011 North Ocean Boulevard","Ft Lauderdale","FL","33308","72.24","SP1","C1K","No","Room with bath - Standard","King","1","20180829"
"EAFLL869","Extended Stay America Cyp Cr","5851 North Andrews Ave Extension","Ft Lauderdale","FL","33309","74.99","PRO","A06","No","Room with bath - Superior","Other","0","20180829"
"EAFLLFLD","Extended Stay America Tamarac","3873 West Commercial Blvd","Tamarac","FL","33309","74.99","PRO","A0D","No","Room with bath - Superior","Double","0","20180829"
"LQHWO985","La Quinta Inn Ste Ft Lauderdale Airport","2620 N 26th Avenue","Hollywood","FL","33020","75.0","RAC","B1K","No","Room with bath - Moderate","King","1","20180829"
"DIFLL154","Days Inn Fort Lauderdale-oakla","1595 W Oakland Park Blvd","Ft Lauderdale","FL","33311","67.49","AR1","H1Q","No","Room with shower - Minimum","Queen","1","20180829"
"RAFLL227","Ramada Fll Arpt Cruise Port","2275 Sr 84 Marina Mile Blvd","Ft Lauderdale","FL","33312","75.6","AR1","N1K","No","Non-smoking","King","1","20180829"
"EAPPMHPB","Extended Stay America Pompano","1401 W. Mcnab Rd","Pompano Beach","FL","33069","76.49","PRO","N1Q","No","Non-smoking","Queen","1","20180829"
"MXFLL055","Motel 6 Ft Lauderdale","1801 Sr 84","Ft Lauderdale","FL","33315","69.99","RAC","UD1","No","Suite","Other","Unknown","20180829"
"LQFLLLKP","La Quinta Inn Ste Plantation Sw 6th St","7901 Southwest 6th Street","Plantation","FL","33324","82.0","RAC","A2D","No","Room with bath - Superior","Double","2","20180829"
"MSFLL046","Plantation Inn Hotel And Lounge","375 N. State Rd. 7","Plantation","FL","33317","76.46","SEN","N2D","No","Non-smoking","Double","2","20180829"
