"OZMEM126","Super 8 West Memphis Ar","901 Martin Luther King Jr Dr","West Memphis","AR","72301-3710","48.45","SP1","C4Q","No","Room with bath - Standard","Queen","4","20181112"
"OZMEM496","Super 8 Memp Dwntn Gracelnd Ar","340 W Illinois Street","Memphis","TN","38106","46.75","SP1","C4Q","No","Room with bath - Standard","Queen","4","20181112"
"LQMEM377","La Quinta Inn Ste Mem Ap Graceland","2979 Millbranch Rd","Memphis","TN","38116","92.0","RAC","H1K","No","Room with shower - Minimum","King","1","20181112"
"BWMEM175","Best Western Plus Gen X Inn","1177 Madison Avenue","Memphis","TN","38104","89.99","SRS","A1K","No","Room with bath - Superior","King","1","20181112"
"CYMEMCAC","Courtyard Airport Marriott","1780 Nonconnah Blvd","Memphis","TN","38131","164.0","RAC","REG","No","unknown","Other","Unknown","20181112"
"DTMEM030","Dbltree By Hilton Memphis Downtown","185 Union Avenue","Memphis","TN","38103","141.3","RAC","C1Q","No","Room with bath - Standard","Queen","1","20181112"
"PWMEMMHL","Madison","79 Madison Avenue","Memphis","TN","38103","151.2","PRO","F1Q","No","Room with shower - Moderate","Queen","1","20181112"
"RCMEMRIR","Residence Inn Downtwn Marriott","110 Monroe Avenue","Memphis","TN","38103","186.0","S9R","XMI","No","unknown","Other","Unknown","20181112"
"CYMEMCDC","Courtyard Downtown Marriott","75 Jefferson Ave","Memphis","TN","38103","195.0","S9R","XMI","No","unknown","Other","Unknown","20181112"
"PHMEMTGH","The Guest House At Graceland","3600 Elvis Presley Boulevard","Memphis","TN","38116","152.15","P16","A1Q","No","Room with bath - Superior","Queen","1","20181112"
"XVMEMMPS","Springhill Stes Dwtn Marriott","85 West Court Avenue","Memphis","TN","38103","218.0","S9R","XMI","No","unknown","Other","Unknown","20181112"
"WIMEM563","Westin Memphis Beale St","170 Lt George W Lee Avenue","Memphis","TN","38103","354.2","A16","A1K","No","Room with bath - Superior","King","1","20181112"
