"HIMKC6DE","Holiday Inn Exp Stes North Kc","1995 Macon Street","North Kansas City","MO","64116","138.0","482","*2D","No","Unspecified","Double","2","20181203"
"SIMCI709","Sheraton Kansas City Hotel","2345 Mcgee Street","Kansas City","MO","64108","242.1","DO0","A1K","No","Room with bath - Superior","King","1","20181203"
"WIMCICRO","Westin Kansas City","One East Pershing Road","Kansas City","MO","64108","260.1","DO0","C1K","No","Room with bath - Standard","King","1","20181203"
