"OZMEM126","Super 8 West Memphis Ar","901 Martin Luther King Jr Dr","West Memphis","AR","72301-3710","46.8","AAA","Q11","No","unknown","Other","1","20181120"
"OZMEM496","Super 8 Memp Dwntn Gracelnd Ar","340 W Illinois Street","Memphis","TN","38106","49.5","AAA","Q11","No","unknown","Other","1","20181120"
"BWMEM175","Best Western Plus Gen X Inn","1177 Madison Avenue","Memphis","TN","38104","89.99","SRS","A1K","No","Room with bath - Superior","King","1","20181120"
"LQMEM377","La Quinta Inn Ste Mem Ap Graceland","2979 Millbranch Rd","Memphis","TN","38116","92.0","RAC","H1K","No","Room with shower - Minimum","King","1","20181120"
"CYMEMCAC","Courtyard Airport Marriott","1780 Nonconnah Blvd","Memphis","TN","38131","164.0","RAC","REG","No","unknown","Other","Unknown","20181120"
"DTMEM030","Dbltree By Hilton Memphis Downtown","185 Union Avenue","Memphis","TN","38103","187.2","RAC","C1Q","No","Room with bath - Standard","Queen","1","20181120"
"CYMEMCDC","Courtyard Downtown Marriott","75 Jefferson Ave","Memphis","TN","38103","195.0","S9R","XMI","No","unknown","Other","Unknown","20181120"
"XVMEMMPS","Springhill Stes Dwtn Marriott","85 West Court Avenue","Memphis","TN","38103","218.0","S9R","XMI","No","unknown","Other","Unknown","20181120"
