"RLMIA190","Knights Inn Miami Motel Bianco","5255 Biscayne Blvd","Miami","FL","33137-3231","58.5","ARP","D1D","No","Room with bath - Minimum","Double","1","20180901"
"YXMIABAY","Daddy O Hotel Miami","9660 East Bay Harbor Drive","Bay Harbor Islands","FL","33154","69.0","RAC","A1K","No","Room with bath - Superior","King","1","20180901"
"DIMIA267","Days Inn Miami Airport North","4767 N.w. 36th Street","Miami","FL","33166","71.1","AR1","C1Q","No","Room with bath - Standard","Queen","1","20180901"
"RYMIA645","Rodeway Inn South Miami - Coral Gables","5959 Sw 71st Street","South Miami","FL","33143","72.44","SNR","N1K","No","Non-smoking","King","1","20180901"
"HIMIADD4","Holiday Inn Miami Doral Area","3255 Northwest 87th Avenue","Miami","FL","33172-1209","80.75","M7B","*RH","No","Unspecified","Other","Unknown","20180901"
"SZMIA817","Sleep Inn Miami Airport","105 Fairway Dr","Miami Springs","FL","33166","84.55","SNR","*1Q","No","Unspecified","Queen","1","20180901"
"CYMIACSC","Courtyard Miami Arpt Marriott","1201 Nw Le Jeune Rd","Miami","FL","33126","87.0","S9R","XMI","No","unknown","Other","Unknown","20180901"
"HIMIA1BC","Holiday Inn Airport-west","7707 Nw 103rd Street","Hialeah Gardens","FL","33016","88.0","482","*1K","No","Unspecified","King","1","20180901"
"WVMIA899","Doral Inn And Suites Miami Airport West","1212 Nw 82nd Ave","Doral","FL","33126","88.0","PRO","S1K","No","Suite","King","1","20180901"
"HIMIADCD","Holiday Inn Express Doral Area","8436 Nw 36th Street","Miami","FL","33166","88.4","18J","*RH","No","Unspecified","Other","Unknown","20180901"
"QIMIAB88","Quality Inn Miami Airport","3959 Northwest 79th Avenue","Miami","FL","33166","89.1","SNR","N1K","No","Non-smoking","King","1","20180901"
"MXMIAI27","Motel 6 Miami, Fl","7330 Nw 36th Street","Miami","FL","33166","79.0","RAC","N2Q","No","Non-smoking","Queen","2","20180901"
"RFMIA255","Red Roof Plus Miami Airport","3401 Nw Le Jeune Road","Miami","FL","33142","89.99","SEN","A2D","No","Room with bath - Superior","Double","2","20180901"
"YOMIA754","Candlewood Stes Miami Airport","8855 Northwest  27th Street","Miami","FL","33172","89.99","Y3O","*1Q","No","Unspecified","Queen","1","20180901"
"HIMIAD88","Holiday Inn - Intl Airport N","1111 South Poinciana Boulevard","Miami Springs","FL","33166","93.0","482","*RH","No","Unspecified","Other","Unknown","20180901"
"CYMIACAC","Courtyard Doral Mariott","3929 Nw 79th Ave","Miami","FL","331666517","93.0","S9R","XMI","No","unknown","Other","Unknown","20180901"
"RAMIA729","Ramada Miami Springs Airport","5001 Nw 36th St","Miami Springs","FL","33166-6003","94.0","RAC","N1K","No","Non-smoking","King","1","20180901"
"CCMIA818","Clarion Inn And Suites Miami Airport","5301 N W 36th Street","Miami Springs","FL","33166","94.5","SNR","*2D","No","Unspecified","Double","2","20180901"
"EAMIAMAP","Extended Stay America Mia Dora","8720 Nw 33rd Street","Miami","FL","33172","94.99","PRO","A0C","No","Room with bath - Superior","Varies","0","20180901"
"WVMIAAIR","Regency Hotel Miami","1000 Nw Le Jeune Road","Miami","FL","33126","84.6","PRE","F1K","No","Room with shower - Moderate","King","1","20180901"
