"DRMCI027","Drury Inn And Suites Shawnee Mission","9009 Shawnee Mission Parkway","Merriam","KS","66202","109.99","WKD","N1K","No","Non-smoking","King","1","20181123"
"BWMCI158","Best Western Plus Seville","4309 Main Street","Kansas City","MO","64111","123.24","DB6","C1K","No","Room with bath - Standard","King","1","20181123"
"WIMCICRO","Westin Kansas City","One East Pershing Road","Kansas City","MO","64108","245.65","A16","C1K","No","Room with bath - Standard","King","1","20181123"
