"EAMCIKCL","Extended Stay America 87th St","8015 Lenexa Drive","Lenexa","KS","66215","62.99","PRO","N1Q","No","Non-smoking","Queen","1","20181004"
"HRMCI109","Harrahs N.kc Casino","One Riverboat Drive","North Kansas City","MO","64116","99.0","RAC","B1Q","No","Room with bath - Moderate","Queen","1","20181004"
"CYMCINOC","Courtyard Briarcliff Marriott","4000 North Mulberry Road","Kansas City","MO","64116","110.0","S9R","XMI","No","unknown","Other","Unknown","20181004"
"ARMCIACC","Ac By Marriott Kansas City","560 Westport Road","Kansas City","MO","64111","170.0","RAC","APN","No","Room with bath - Superior","Other","Unknown","20181004"
"SIMCI709","Sheraton Kansas City Hotel","2345 Mcgee Street","Kansas City","MO","64108","228.65","A16","A1K","No","Room with bath - Superior","King","1","20181004"
"AKMCIAKA","The Raphael Hotel","325 Ward Parkway","Kansas City","MO","64112","259.0","RAC","REG","No","unknown","Other","Unknown","20181004"
"ICMKCICA","Intercontinental At The Plaza","401 Ward Parkway","Kansas City","MO","64112","227.0","482","*1K","No","Unspecified","King","1","20181004"
