"BWCVG111","Bw Plus Cincinnati Riverfront","200 Crescent Avenue","Covington","KY","41011-1002","116.1","DB6","W2Q","No","Room at weekend rate","Queen","2","20181201"
"HYCVGHCN","Hyatt Regency Cincinnati","151 West 5th St","Cincinnati","OH","45202","149.0","***","QEN","No","unknown","Other","Unknown","20181201"
"ESCVGD86","Embassy Suites Blue Ash","4554 Lake Forest Drive","Cincinnati","OH","45242","132.05","AAA","A1D","No","Room with bath - Superior","Double","1","20181201"
"HHCVG253","Hilton Cincinnati Netherlands","35 West Fifth St","Cincinnati","OH","45202-2899","145.0","PRO","D2D","No","Room with bath - Minimum","Double","2","20181201"
"HXCVG348","Hmptn Inn And Suites Downtown Cincinnati","617 Vine Street","Cincinnati","OH","45202","170.05","RAC","G1K","No","Room with shower - Standard","King","1","20181201"
"YXCVG21C","21c Museum Hotel Cincinnati","609 Walnut Street","Cincinnati","OH","45202","329.0","RA2","A2Q","No","Room with bath - Superior","Queen","2","20181201"
