"SCYQG884","Sunbridge Hotel Windsor","430 Ouellette Ave","Windsor","ON","N9A 1B2","91.54","BO1","F1Q","No","Room with shower - Moderate","Queen","1","20181228"
"MVDETMGM","Mgm Grand Detroit","1777 Third Street","Detroit","MI","48226","199.0","WKD","A1K","No","Room with bath - Superior","King","1","20181228"
"BTDTW568","Motorcity Casino Hotel","2901 Grand River Avenue","Detroit","MI","48201","239.0","RA5","C2K","No","Room with bath - Standard","King","2","20181228"
