"SCYQG884","Sunbridge Hotel Windsor","430 Ouellette Ave","Windsor","ON","N9A 1B2","111.16","BO1","F2Q","No","Room with shower - Moderate","Queen","2","20181222"
"MCDTWDBM","Dearborn Inn Marriott Hotel","20301 Oakwood Boulevard","Dearborn","MI","48124","135.0","S9R","XMI","No","unknown","Other","Unknown","20181222"
"AKDTWAKA","The Henry","300 Town Center Drive","Dearborn","MI","48126","160.55","RAC","APN","No","Room with bath - Superior","Other","Unknown","20181222"
"MCDTTDTM","Marriott At Renaissance Center","400 Renaissance Dr","Detroit","MI","48243","220.0","S9R","XMI","No","unknown","Other","Unknown","20181222"
"MVDETMGM","Mgm Grand Detroit","1777 Third Street","Detroit","MI","48226","299.0","WKD","A1K","No","Room with bath - Superior","King","1","20181222"
