"SCYQG884","Sunbridge Hotel Windsor","430 Ouellette Ave","Windsor","ON","N9A 1B2","85.0","BO1","F1Q","No","Room with shower - Moderate","Queen","1","20181121"
"BHDTWDBR","Hawthorn Suites Dearborn, Mi","5777 Southfield Service Drive","Detroit","MI","48228","125.99","AAA","SPN","No","Suite","Other","Unknown","20181121"
"CYDTTDBC","Courtyard Dearborn Marriott","5200 Mercury Dr","Dearborn","MI","48126","135.0","RAC","XMI","No","unknown","Other","Unknown","20181121"
"MVDETMGM","Mgm Grand Detroit","1777 Third Street","Detroit","MI","48226","174.0","DTE","A1K","No","Room with bath - Superior","King","1","20181121"
"BTDTW568","Motorcity Casino Hotel","2901 Grand River Avenue","Detroit","MI","48201","196.0","RA5","C2K","No","Room with bath - Standard","King","2","20181121"
"PHDTTGPA","Atheneum Suite Hotel Lif","1000 Brush Avenue","Detroit","MI","48226","259.0","PR2","S2Q","No","Suite","Queen","2","20181121"
"MCDTTDTM","Marriott At Renaissance Center","400 Renaissance Dr","Detroit","MI","48243","339.0","S9R","XMI","No","unknown","Other","Unknown","20181121"
